,Unnamed: 0,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,type,dividend
110,110,532814,INDIANB,Indian Bank,04 Mar 2010,Interim Dividend - Rs. - 2.5000,05 Mar 2010,-,-,25 Feb 2010,04 Mar 2010,-,Interim Dividend, 2.5000
111,111,505200,EICHERMOT,Eicher Motors Ltd,05 Mar 2010,Dividend - Rs. - 7.0000,-,09 Mar 2010,15 Mar 2010,02 Mar 2010,08 Mar 2010,-,Dividend, 7.0000
112,112,531543,JINDWORLD,Jindal Worldwide Ltd,08 Mar 2010,Interim Dividend - Rs. - 0.2500,09 Mar 2010,-,-,02 Mar 2010,08 Mar 2010,-,Interim Dividend, 0.2500
113,113,500660,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,10 Mar 2010,Dividend - Rs. - 30.0000,-,12 Mar 2010,25 Mar 2010,05 Mar 2010,11 Mar 2010,-,Dividend, 30.0000
114,114,533033,ISGEC,ISGEC Heavy Engineering Ltd,10 Mar 2010,Dividend - Rs. - 10.0000,-,12 Mar 2010,20 Mar 2010,05 Mar 2010,11 Mar 2010,-,Dividend, 10.0000
115,115,500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,11 Mar 2010,Dividend - Rs. - 0.7000,-,13 Mar 2010,18 Mar 2010,08 Mar 2010,11 Mar 2010,-,Dividend, 0.7000
116,116,533151,DBCORP,D. B. Corp Ltd,11 Mar 2010,Interim Dividend - Rs. - 0.7500,12 Mar 2010,-,-,05 Mar 2010,11 Mar 2010,-,Interim Dividend, 0.7500
117,117,500092,CRISIL,CRISIL Ltd,12 Mar 2010,Dividend - Rs. - 25.0000,-,17 Mar 2010,18 Mar 2010,10 Mar 2010,16 Mar 2010,-,Dividend, 25.0000
118,118,517228,TRENDELEC,Trend Electronics Ltd-$,12 Mar 2010,Dividend - Rs. - 1.0000,-,17 Mar 2010,30 Mar 2010,10 Mar 2010,16 Mar 2010,-,Dividend, 1.0000
119,119,500945,VALUEIND,Value Industries Ltd,12 Mar 2010,Dividend - Rs. - 1.0000,-,17 Mar 2010,30 Mar 2010,10 Mar 2010,16 Mar 2010,-,Dividend, 1.0000
120,120,513683,NLCINDIA,NLC India Ltd,15 Mar 2010,Interim Dividend - Rs. - 1.0000,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-,Interim Dividend, 1.0000
121,121,500338,PRSMJOHNSN,Prism Johnson Ltd,15 Mar 2010,Interim Dividend - Rs. - 1.5000,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-,Interim Dividend, 1.5000
122,122,531381,ARIHANT,Arihant Foundations & Housing Ltd-$,17 Mar 2010,Final Dividend - Rs. - 1.0000,-,19 Mar 2010,26 Mar 2010,12 Mar 2010,18 Mar 2010,-,Final Dividend, 1.0000
123,123,508664,BESTEAST,Best Eastern Hotels Ltd,17 Mar 2010,Interim Dividend - Rs. - 1.5000,18 Mar 2010,-,-,10 Mar 2010,17 Mar 2010,-,Interim Dividend, 1.5000
124,124,532555,NTPC,NTPC Ltd,18 Mar 2010,Interim Dividend - Rs. - 3.0000,19 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-,Interim Dividend, 3.0000
125,125,500126,PGHL,Procter & Gamble Health Ltd,18 Mar 2010,Dividend - Rs. - 20.0000,-,20 Mar 2010,29 Mar 2010,12 Mar 2010,18 Mar 2010,-,Dividend, 20.0000
126,126,511389,VIDEOIND,Videocon Industries Ltd,18 Mar 2010,Dividend - Rs. - 2.0000,-,22 Mar 2010,30 Mar 2010,12 Mar 2010,19 Mar 2010,-,Dividend, 2.0000
127,127,532290,BLBLIMITED,BLB Ltd,19 Mar 2010,Interim Dividend - Rs. - 0.2000,22 Mar 2010,-,-,12 Mar 2010,19 Mar 2010,-,Interim Dividend, 0.2000
128,128,532774,INSPIRISYS,Inspirisys Solutions Ltd,19 Mar 2010,Interim Dividend - Rs. - 1.5000,22 Mar 2010,-,-,12 Mar 2010,19 Mar 2010,-,Interim Dividend, 1.5000
129,129,519570,LAKSHMIO,Lakshmi Overseas Industries Ltd,19 Mar 2010,Final Dividend - Rs. - 0.5000,-,23 Mar 2010,27 Mar 2010,15 Mar 2010,22 Mar 2010,-,Final Dividend, 0.5000
