,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15252,533023,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd,26 Mar 2020,Interim Dividend - Rs. - 10.0000,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
15253,500410,ACC,ACC Ltd,27 Mar 2020,Final Dividend,30 Mar 2020,-,-,20 Mar 2020,27 Mar 2020,-
15254,500092,CRISIL,CRISIL Ltd,31 Mar 2020,Final Dividend - Rs. - 13.0000,-,07 Apr 2020,08 Apr 2020,26 Mar 2020,03 Apr 2020,-
15255,524709,NACLIND,NACL Industries Ltd,31 Mar 2020,Interim Dividend - Rs. - 0.1000,04 Apr 2020,-,-,26 Mar 2020,01 Apr 2020,-
15256,500425,AMBUJACEM,Ambuja Cements Ltd,03 Apr 2020,Final Dividend - Rs. - 1.5000,07 Apr 2020,-,-,26 Mar 2020,03 Apr 2020,-
15257,538567,GULFOILLUB,Gulf Oil Lubricants India Ltd,22 Apr 2020,Interim Dividend - Rs. - 7.0000,23 Apr 2020,-,-,16 Apr 2020,22 Apr 2020,-
15258,500249,KSB,KSB Ltd,23 Apr 2020,Dividend - Rs. - 8.0000,-,27 Apr 2020,07 May 2020,20 Apr 2020,24 Apr 2020,-
15259,500825,BRITANNIA,Britannia Industries Ltd,29 Apr 2020,Interim Dividend - Rs. - 35.0000,02 May 2020,-,-,24 Apr 2020,29 Apr 2020,-
15260,500092,CRISIL,CRISIL Ltd,04 May 2020,Interim Dividend - Rs. - 6.0000,05 May 2020,-,-,27 Apr 2020,04 May 2020,-
15261,534816,INDUSTOWER,Indus Towers Ltd,05 May 2020,Interim Dividend - Rs. - 4.1000,06 May 2020,-,-,28 Apr 2020,04 May 2020,-
15262,500680,PFIZER,Pfizer Ltd,06 May 2020,Special Dividend - Rs. - 320.0000,08 May 2020,-,-,30 Apr 2020,07 May 2020,-
15263,532541,COFORGE,Coforge Ltd,14 May 2020,Interim Dividend - Rs. - 11.0000,15 May 2020,-,-,08 May 2020,14 May 2020,-
15264,523405,JMFINANCIL,JM Financial Ltd,15 May 2020,Dividend - Rs. - 0.2000,-,19 May 2020,22 May 2020,12 May 2020,18 May 2020,-
15265,543066,SBICARD,SBI Cards and Payment Services Ltd,15 May 2020,Interim Dividend - Rs. - 1.0000,18 May 2020,-,-,11 May 2020,15 May 2020,-
15266,532757,VOLTAMP,Voltamp Transformers Ltd,18 May 2020,Dividend - Rs. - 25.0000,19 May 2020,-,-,12 May 2020,18 May 2020,-
15267,500410,ACC,ACC Ltd,19 May 2020,Interim Dividend - Rs. - 14.0000,20 May 2020,-,-,13 May 2020,19 May 2020,-
