Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500034,BAJFINANCE,Bajaj Finance Ltd,23 Jan 2013,Right Issue of Equity Shares ,25 Jan 2013,-,-,18 Jan 2013,23 Jan 2013,-
521070,ALOKINDS,Alok Industries Ltd,15 Feb 2013,Right Issue of Equity Shares ,19 Feb 2013,-,-,12 Feb 2013,15 Feb 2013,-
523398,JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,05 Mar 2013,Right Issue of Equity Shares ,06 Mar 2013,-,-,27 Feb 2013,05 Mar 2013,-
512267,MMWL,Media Matrix Worldwide Ltd,18 Mar 2013,Right Issue of Equity Shares ,19 Mar 2013,-,-,12 Mar 2013,18 Mar 2013,-
502937,KESORAMIND,Kesoram Industries Ltd,15 May 2013,Right Issue of Equity Shares ,16 May 2013,-,-,09 May 2013,15 May 2013,-
501148,DSINVEST,Dalal Street Investments Ltd,10 Jun 2013,Right Issue of Equity Shares ,11 Jun 2013,-,-,04 Jun 2013,10 Jun 2013,-
515030,ASAHIINDIA,Asahi India Glass Ltd,26 Jul 2013,Right Issue of Equity Shares ,-,30 Jul 2013,30 Jul 2013,23 Jul 2013,29 Jul 2013,-
523207,KOKUYOCMLN,Kokuyo Camlin Ltd,01 Aug 2013,Right Issue of Equity Shares ,02 Aug 2013,-,-,26 Jul 2013,01 Aug 2013,-
533150,GODREJPROP,Godrej Properties Ltd,19 Aug 2013,Right Issue of Equity Shares ,20 Aug 2013,-,-,12 Aug 2013,19 Aug 2013,-
523660,WATERBASE,Waterbase Ltd,11 Sep 2013,Right Issue of Equity Shares ,12 Sep 2013,-,-,04 Sep 2013,11 Sep 2013,-
500429,UNIENTER,Uniphos Enterprises Ltd,18 Sep 2013,Right Issue of Equity Shares ,19 Sep 2013,-,-,12 Sep 2013,18 Sep 2013,-
533167,COROENGG,Coromandel Engineering Company Ltd,13 Jan 2014,Right Issue of Equity Shares ,15 Jan 2014,-,-,08 Jan 2014,14 Jan 2014,-
500460,MUKANDLTD,Mukand Ltd,10 Feb 2014,Right Issue of Equity Shares ,11 Feb 2014,-,-,04 Feb 2014,10 Feb 2014,-
